version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 98.87.174.139 172.31.17.14 443 33312 6 22 6042 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.95.49.216 172.31.17.14 123 59133 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 49522 443 6 18 4932 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.58 57451 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 55804 443 6 18 4932 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.186.168.123 57892 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 49534 6 25 7462 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 44.216.199.76 172.31.17.14 443 49898 6 22 7592 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 49542 443 6 19 4996 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 87.251.78.130 172.31.17.14 41820 25 6 1 40 1764302530 1764302591 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.186.168.123 39955 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.232.28.194 172.31.17.14 123 36847 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 60716 443 6 16 4864 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 142.202.190.19 172.31.17.14 123 49492 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 54.239.28.168 172.31.17.14 443 35370 6 26 7560 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 91.189.91.157 172.31.17.14 123 54396 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.186.168.123 172.31.17.14 123 54740 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 35.203.211.233 172.31.17.14 56251 93 6 1 44 1764302530 1764302591 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 60716 6 22 7324 1764302530 1764302591 ACCEPT OK
